Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (gf/W),Overall Efficiency (gf/W),Vibration (g),App message,
0.42394999999989524,1200,,,,-0.0408203125,-0.003515625,-0.9833984375,0.0007056285171415369,6.384790880926726,7.846759891510009,0.6612448275089264,9845,0,5.188628159939159,0.7271426501439013,14.021652793311105,9.198775350477039,1.2304235288609182,0.24462890625,,
0.37843825000002396,1230,,,,-0.04130859375,0.00703125,-0.98779296875,0.0008071644379840264,7.78112512347342,7.835775232315063,0.7236261546611786,10842,0,5.6701701792072985,0.9163962284168644,16.161901711354705,8.694784437754112,1.3720004129251053,0.24638671875,,
4.317785500000057,1260,,,,-0.04033203125,0.00166015625,-0.97861328125,0.000870346526301327,9.509118792654453,7.82586350440979,0.7912658125162124,11823,0,6.1923382435043575,1.0776281762028517,17.395832439509473,8.985683028578697,1.5357569025047382,0.34052734375,,
8.328845500000039,1290,,,,-0.03759765625,-0.0029296875,-0.98271484375,0.001046446084192816,11.103723986395474,7.81566731929779,0.8624563246965409,12667,0,6.7406708022383865,1.3869657760021084,20.57532771732928,8.180851822499891,1.6473930542175255,0.27705078125,,
12.37435700000004,1320,,,,-0.023828125,-0.00498046875,-0.99013671875,0.0012144696275924371,13.099940508261497,7.8058034658432005,0.9372745335102082,13734,0,7.316175377557782,1.7465965011002655,23.876650541294545,7.54217313921958,1.7908059761847592,0.2880859375,,
16.439537000000033,1350,,,,-0.033203125,0.00986328125,-0.99697265625,0.0013472463417838277,15.063068258351294,7.794510293006897,1.0158225178718567,14688,0,7.917840531875385,2.0721733936423155,26.168728067070894,7.294295254210913,1.9025348612063062,0.23896484375,,
20.506314000000017,1380,,,,-0.040625,-0.00166015625,-0.9853515625,0.0016383060186700975,17.110032355648347,7.783685660362243,1.0995617747306823,15557,0,8.558640131343722,2.6689428466555736,31.189308183643895,6.425735836057441,1.999527158964596,0.251953125,,
24.556803750000018,1410,,,,-0.0234375,0.0052734375,-0.9982421875,0.0016202622552459688,18.881036868040592,7.771857404708863,1.1724503695964814,16465,0,9.112116692823562,2.793818749660904,30.673581193133565,6.788495033385555,2.0726642028854845,0.27568359375,,
28.577250500000055,1440,,,,-0.03427734375,0.02548828125,-0.98349609375,0.0017061823396718287,21.13032268655711,7.758884024620056,1.2683045327663423,17284,0,9.840629786819719,3.088108915038522,31.38624229822107,6.8616664607060915,2.1474082085703925,0.303125,,
32.60585750000003,1470,,,,-0.02255859375,0.00078125,-0.99189453125,0.0019296059765798652,23.459389872934626,7.745890808105469,1.3547958076000213,18077,0,10.49409699608555,3.6527715668543608,34.810764880315965,6.439512383999752,2.235532479852355,0.33251953125,,
36.629579250000035,1500,,,,-0.02373046875,-0.0037109375,-0.98515625,0.0021177736516353697,25.255833417519757,7.730595350265503,1.4529915690422057,18892,0,11.232487942249724,4.189774141214263,37.30411023822612,6.039859162455153,2.248618804820039,0.3736328125,,
40.64170650000004,1530,,,,-0.02177734375,0.02294921875,-0.9912109375,0.0023156673602606924,27.696670707614945,7.714621615409851,1.5611095786094666,19593,0,12.04337106252405,4.751135996167676,39.45652031614827,5.840344271598468,2.299927930600106,0.2939453125,,
44.600881250000036,1560,,,,-0.04384765625,-0.0267578125,-0.983984375,0.0024392186366552593,29.304395653735632,7.700487756729126,1.6508879959583282,20238,0,12.71264093779883,5.1696226811172235,40.66906585684477,5.677403108281152,2.3052005344188387,0.30419921875,,
48.69092075000002,1590,,,,-0.01455078125,-0.01103515625,-1.000390625,0.0026207316568067616,31.366070626795974,7.686135101318359,1.7411255717277527,20845,0,13.38252660564406,5.720707611579523,42.75234389257558,5.489227602380084,2.343854405735402,0.2740234375,,
52.657997000000044,1620,,,,-0.017578125,-0.00546875,-0.985546875,0.0027185186887011036,32.792743551320044,7.673485827445984,1.8267206311225892,21443,0,14.017315296215637,6.104473505533824,43.55197038683487,5.3792489948628575,2.3395282788403877,0.3154296875,,
56.76086200000002,1650,,,,-0.0296875,-0.005859375,-0.9890625,0.002967821450034995,35.23505550691451,7.6574218511581424,1.9375561416149139,21984,0,14.836684031301136,6.832511763401167,46.051729069360555,5.163726363111394,2.3748557972155466,0.25595703125,,
60.70752650000005,1680,,,,-0.01455078125,-0.000390625,-0.991796875,0.0031217882727429635,37.694993994701875,7.641082000732422,2.0589123010635375,22671,0,15.732312012276196,7.4113119297749375,47.10898117260062,5.090471049408069,2.396062702874722,0.267578125,,
64.91432000000003,1710,,,,-0.02939453125,0.0064453125,-0.98994140625,0.00330940547411988,39.52304112226114,7.62228934764862,2.188638210296631,23439,0,16.682423447930823,8.12291444270215,48.68874016022288,4.8698952671111435,2.3693362286746873,0.3794921875,,
69.08377275000005,1740,,,,-0.0205078125,-0.00478515625,-0.97607421875,0.0034906157235087736,42.27110834231322,7.603735828399659,2.3295509696006773,24160,0,17.713293740186128,8.831555727093427,49.85941485278379,4.789687692626736,2.3864578623590615,0.40751953125,,
73.12426075000005,1770,,,,-0.0291015625,0.00576171875,-0.9857421875,0.0037209987483407918,45.31920404543823,7.583265805244446,2.5020092725753784,24831,0,18.97339156285573,9.675619709042083,51.00220075404055,4.686344445127827,2.388715112156931,0.35732421875,,
