Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (gf/W),Overall Efficiency (gf/W),Vibration (g),App message,
0.23912649999917485,1300,,,,-0.03662109375,0.007421875,-0.98095703125,0.0006598683365724486,20.383924872255218,12.130398750305176,1.2416595101356507,17300,0,15.061813985021377,1.1955026939172326,7.9470751911689606,17.255795470996574,1.3537956408799217,0.22099609375,,
0.23661324999989003,1333,,,,-0.0419921875,0.0171875,-0.98232421875,0.0010660500021470415,24.430382543847536,12.077559661865234,1.4871332049369812,18864,0,17.960889515189756,2.1059182405637733,11.733683419157712,11.625661007025816,1.3606091059517096,0.31171875,,
3.7372277499999846,1366,,,,-0.02578125,0.01630859375,-0.991015625,0.001465197564176791,28.746913409750043,12.028971958160401,1.6929592549800874,20406,0,20.36451351343748,3.1312241637080573,15.38588529066674,9.217771757596616,1.4118856808835802,0.3447265625,,
7.237533999999893,1399,,,,-0.03310546875,0.025,-0.98916015625,0.001895011575143023,33.63240850711228,11.987070274353027,1.8868778228759766,21836,0,22.61814779298387,4.333294983531603,19.16195279836069,7.772142073380813,1.4877253897267222,0.28046875,,
10.737841500000004,1432,,,,-0.04677734375,0.01474609375,-0.98662109375,0.002359837465670476,38.975113934539436,11.940937995910645,2.0984086394309998,23195,0,25.056963353811092,5.731539789701172,22.8789433376248,6.810994056675315,1.5557622433270561,0.38154296875,,
14.23743700000001,1465,,,,-0.0271484375,0.0015625,-0.99052734375,0.0028231046655971498,43.71051857478249,11.895661163330079,2.3136553049087523,24680,0,27.522460091516802,7.296098281330361,26.513637161782647,5.993174068468097,1.588496361117097,0.5787109375,,
17.736837000000012,1498,,,,-0.00498046875,0.0166015625,-1.00146484375,0.0032945111115349687,49.282732357409195,11.851894903182984,2.516684114933014,25807,0,29.827482729020325,8.903313062260057,29.864278624686854,5.541610695935266,1.6530295018313956,0.5482421875,,
21.237714999999987,1531,,,,-0.03291015625,0,-0.9837890625,0.0036626233065944177,56.47707982322885,11.806288385391236,2.7240537643432616,27902,0,32.160878491369054,10.701754534170068,33.28294777951133,5.2785210376903855,1.7563743694556158,0.85146484375,,
24.73781949999998,1564,,,,0.01279296875,0.003515625,-0.99287109375,0.004054852693980023,62.862477558348296,11.7611674785614,2.9261479496955873,29315,0,34.41476612617381,12.447753293389564,36.183442938999136,5.051486909488952,1.8273823083409755,1.2646484375,,
28.237841750000136,1597,,,,-0.0201171875,-0.04091796875,-0.9888671875,0.0047081404340845925,69.42521751139344,11.712028217315673,3.107497453689575,30601,0,36.39469877944729,15.087554921943626,41.48564087606261,4.603135090346215,1.9090140818178234,1.46416015625,,
31.737727249999807,1630,,,,-0.04716796875,-0.013671875,-0.97724609375,0.0050311942367233,75.27844220411545,11.663130903244019,3.355668318271637,32026,0,39.13759116574603,16.873450831087673,43.11303466822777,4.462231891108785,1.9234879500357993,1.06474609375,,
35.238449499999874,1663,,,,-0.051171875,0.031640625,-0.9916015625,0.0055468955694235765,83.2116558486397,11.610130119323731,3.6135854721069336,33373,0,41.954191752679854,19.38550416595983,46.205964917056775,4.293321352049745,1.9834257371845665,0.56845703125,,
38.73731925000004,1696,,,,-0.01875,0.009375,-0.98623046875,0.006052700386311746,90.9353590664273,11.552893447875977,3.886962890625,34455,0,44.90562998369869,21.842276315256022,48.64703578782044,4.168780949892008,2.0250693138110787,0.45546875,,
42.23750774999997,1729,,,,-0.0302734375,0.01689453125,-0.97900390625,0.0064652111140110335,96.68373705289325,11.501587772369385,4.102745413780212,36135,0,47.188071923313785,24.46463327903563,51.84546660289452,3.9527061986409797,2.048928590538388,0.39306640625,,
45.73866925000003,1762,,,,-0.02998046875,0.00693359375,-0.98759765625,0.007210617596334637,105.8824105786494,11.442438220977783,4.451779007911682,37327,0,50.93897446953402,28.18582812451647,55.34267819358816,3.7572426070480835,2.079013491918291,0.54208984375,,
49.239087999999995,1795,,,,-0.08271484375,0.09345703125,-1.0103515625,0.007454590649270389,112.63040947382959,11.386075067520142,4.635175895690918,38442,0,52.776953790031186,30.01036635085673,56.903126196111245,3.7560954996166727,2.135339094273016,0.7365234375,,
52.73786224999999,1828,,,,-0.0265625,0.02666015625,-0.9921875,0.008192216620717563,123.45896975555863,11.319304132461548,5.0917706966400145,39696,0,57.6352964219951,34.054173041339745,59.08515093781243,3.627530187881905,2.1420898320199933,0.38291015625,,
56.23838624999985,1861,,,,-0.0251953125,0.0123046875,-0.98505859375,0.008625215642630479,129.0928324817014,11.267135572433471,5.31878514289856,40730,0,59.926702071785215,36.78891656626299,61.42464049194979,3.5092786271116823,2.155190708534872,0.43349609375,,
59.738445250000005,1894,,,,-0.024609375,0.0513671875,-0.97236328125,0.00900085036688745,135.17834553238504,11.207133531570435,5.647547650337219,41636,0,63.29272620133963,39.244258378423,62.00600612438136,3.4447296010795907,2.135839958401359,0.5533203125,,
