Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (gf/W),Overall Efficiency (gf/W),Vibration (g),App message,
0.2383284999998519,1300,,,,-0.036328125,0.0224609375,-0.99375,-0.0005037036921384144,5.133710813423561,7.464459848403931,0.5522736102342606,9115,0,4.122419702938815,0.4807890454204423,11.672452935879761,11.0637189331759,1.2462650248759624,0.19990234375,,
0.2365947500000242,1330,,,,-0.02841796875,0.02138671875,-0.98828125,-0.0006460224111685197,7.148681121392074,7.44992425441742,0.6835026770830155,10451,0,5.092030317572787,0.7073445673922285,13.895277452744077,10.18521794436747,1.4047665687722788,0.18515625,,
3.7369282500000436,1360,,,,-0.01533203125,0.003125,-0.9998046875,-0.0008444505901016974,8.92362933296506,7.434573698043823,0.8254171669483185,12073,0,6.136604363012367,1.0678668421185564,17.420188054275677,8.412425647002907,1.4573414927100208,0.2203125,,
7.237661750000017,1390,,,,-0.0294921875,0.0033203125,-0.98232421875,-0.0009460972648832886,11.280560005524096,7.419959497451782,0.9618217378854752,13335,0,7.136669743433136,1.320168435673324,18.5082810101056,8.582078876823813,1.5815686407728209,0.16357421875,,
10.737187500000115,1420,,,,-0.0451171875,0.01787109375,-0.9888671875,-0.0009935198717041678,14.215218892418173,7.403606796264649,1.084062361717224,14693,0,8.025960474331999,1.5287309550019725,19.05828971968041,9.3442373213914,1.7716246357379888,0.16962890625,,
14.237175500000058,1450,,,,-0.05673828125,0.00068359375,-0.998828125,-0.0015090984342649551,17.224526999033284,7.387210583686828,1.2345600426197052,16111,0,9.119927940635673,2.5468696556325807,27.941751591220886,6.820613293344128,1.8927850749573214,0.34775390625,,
17.737556750000035,1480,,,,-0.02841796875,0.02763671875,-0.98271484375,-0.001763726625063828,20.42358790222345,7.372117257118225,1.3847720205783844,17413,0,10.208706023661227,3.2160672146612037,31.506442799848294,6.357720408434936,2.000923139005094,0.200390625,,
21.23783225000003,1510,,,,-0.0298828125,0.0177734375,-0.98818359375,-0.002077214923353812,23.64463471896147,7.357192468643189,1.5300519645214081,18784,0,11.256891735994424,4.085972384038091,36.3027440412692,5.790519724270151,2.1010248835387055,0.22333984375,,
24.737322750000025,1540,,,,-0.05859375,-0.0064453125,-0.98857421875,-0.002313865704273308,27.40533075542053,7.339470791816711,1.7247120678424834,20196,0,12.658525681707776,4.893759832859375,38.695144677959554,5.603751097521,2.166980560178972,0.25654296875,,
28.237938250000106,1570,,,,0.0146484375,0.0330078125,-0.98662109375,-0.002639167640839903,31.972250379781805,7.320738005638122,1.8413650751113892,21549,0,13.480123241024506,5.955656134111168,44.21545485495391,5.375168483690516,2.373015640194586,0.22822265625,,
31.737993000000085,1600,,,,-0.03017578125,0.0255859375,-0.99638671875,-0.003085270196428364,36.860544123739814,7.304692506790161,2.0182698607444762,22828,0,14.742817746856963,7.375553686196296,50.04488955905357,4.9999740699315165,2.500715036307161,0.22353515625,,
35.23826575000009,1630,,,,0.00087890625,0.07373046875,-0.89794921875,-0.0036770159294929917,42.13075542052204,7.285266947746277,2.221257781982422,24255,0,16.182425082782025,9.339800560168083,57.75477128381458,4.512686315491076,2.6058683772549665,0.37626953125,,
38.73805225000008,1660,,,,-0.02255859375,0.01845703125,-1.00048828125,-0.004108742890093277,46.14224554619527,7.26974356174469,2.403794538974762,25609,0,17.474859112752437,11.018939531251515,63.072209700351564,4.1907877913689795,2.641501769268369,0.2998046875,,
42.23893275000004,1690,,,,-0.02568359375,-0.0064453125,-0.98427734375,-0.004369636488052351,52.77438682502418,7.244764995574951,2.6490678429603576,27159,0,19.191804302501765,12.427605929043775,64.77252449405728,4.247198639644315,2.7504139984138924,0.78134765625,,
45.73761099999995,1720,,,,0.0220703125,-0.1076171875,-0.97216796875,-0.0039548763526178745,57.297555586245,7.22571291923523,2.8525376200675963,28430,0,20.61159909517023,11.77433410760511,57.130068555534095,4.867483172835469,2.7801530068249503,1.77802734375,,
49.23822825000006,1750,,,,0.0013671875,-0.16259765625,-0.9830078125,-0.004099089006650998,62.45286562629471,7.203827118873596,3.082004117965698,29163,0,22.20217697772758,12.518288315801652,56.38964594401973,4.992491176495709,2.8131550404564902,1.60693359375,,
52.738423250000054,1780,,,,0.00439453125,-0.06806640625,-1.07265625,-0.0043624648116559585,66.18682502416793,7.182779002189636,3.300559377670288,30341,0,23.707165804738178,13.860982744762193,58.472212494166754,4.775774906613761,2.792024245558587,2.12080078125,,
56.23857050000006,1810,,,,0.0990234375,-0.02412109375,-1.00419921875,-0.00506988801669985,73.13183261980392,7.153780674934387,3.642866826057434,31378,0,26.060230331024265,16.65889315177285,63.925398729368325,4.390562368697596,2.8064158659400356,2.340234375,,
59.738422749999984,1840,,,,0.01015625,0.00673828125,-1.0142578125,-0.005251204967435758,74.79158472586658,7.13397262096405,3.775810205936432,31963,0,26.93651896648325,17.57666658683971,65.25279084772492,4.255840569646563,2.7765702263853105,2.8048828125,,
63.23855725000002,1870,,,,-0.02470703125,0.0833984375,-1.015234375,-0.005254224879233164,76.04905399806658,7.124381971359253,3.803006136417389,31860,0,27.09406251440376,17.530147115148758,64.70225337233715,4.339094984184783,2.806868557358258,2.85,,
66.73930025000007,1900,,,,-0.06787109375,-0.2396484375,-0.92578125,-0.0050112371872600165,73.55125949454496,7.119939517974854,3.744400751590729,31914,0,26.65990839948059,16.747740838798983,62.81974405195907,4.39274239029102,2.7588820733053865,2.3373046875,,
