Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (gf/W),Overall Efficiency (gf/W),Vibration (g),App message,
0.11353550000000978,1000,,,,-0.0625,0.0517578125,-0.9572265625,0.0000504811955905921,-1.0777747584875945,4.038645172119141,0.1445035807648674,0,0,0.5835973488358526,0,0,0,0,0.064453125,,
0.10687099999998462,1100,,,,-0.0341796875,0.0375,-0.9921875,0.00009464970250134356,0.43688512771597476,4.007043027877808,0.33278134389314806,0,0,1.3334672270876193,0,0,0,0,0.0998046875,,
1.3321554999999818,1200,,,,-0.041015625,0.0384765625,-0.98515625,0.000035136542370822276,3.0687326005700912,3.951379418373108,0.640709524587728,0,0,2.531690837726453,0,0,0,0,0.13203125,,
2.562797999999952,1300,,,,-0.03671875,0.041015625,-0.984375,0.0000040770962352998364,5.961224919865574,3.886506724357605,0.9661441258946434,0,0,3.754924103164708,0,0,0,0,0.1625,,
3.8030144999999793,1400,,,,-0.0408203125,0.0361328125,-0.9791015625,-0.0000799095466360182,8.74531809762536,3.818720817565918,1.2941516391793266,0,0,4.942001120413773,0,0,0,0,0.1666015625,,
5.045075499999966,1500,,,,-0.04375,0.040234375,-0.9958984375,-0.00003132181552140973,11.980568094852543,3.741221475601196,1.6437467448273675,0,0,6.149616433630138,0,0,0,0,0.140234375,,
6.270488499999955,1600,,,,-0.043359375,0.0318359375,-0.9763671875,-0.00019458528211689554,15.005157440578524,3.6749058961868286,1.945136403278448,0,0,7.148196614484823,0,0,0,0,0.328125,,
7.502028499999969,1700,,,,-0.0505859375,0.044140625,-0.990625,-0.0001552176859249227,18.099732700391524,3.6071651458740233,2.2519281498948116,0,0,8.123073503500349,0,0,0,0,0.5224609375,,
8.753544499999984,1800,,,,-0.0431640625,0.0265625,-0.958984375,-0.00019561166602256706,19.794183460698083,3.525220775604248,2.5484292141953486,0,0,8.98377729617619,0,0,0,0,0.4669921875,,
9.986440499999954,1900,,,,-0.0443359375,0.033984375,-0.98203125,-0.00024126864342652261,22.333935959006666,3.43922016620636,2.9330524079361933,0,0,10.087414905883398,0,0,0,0,0.291796875,,
11.227414999999977,2000,,,,-0.03203125,0.0318359375,-0.9908203125,-0.00028814017511885615,24.19982032142501,3.326472210884094,3.4118557803193106,0,0,11.349479698946247,0,0,0,0,0.2462890625,,
12.477156999999984,2100,,,,-0.039453125,0.038671875,-0.990234375,-0.00026345564218745567,24.487416954115417,3.309444260597229,3.4004063717881214,0,0,11.25345870863086,0,0,0,0,0.2341796875,,
13.726294000000005,2200,,,,-0.0509765625,0.0390625,-0.988671875,-0.0002510021841319744,23.831701068089313,3.301854968070984,3.3691137187043205,0,0,11.124339682442837,0,0,0,0,0.22890625,,
14.9649205,1000,,,,-0.0609375,0.05078125,-0.9564453125,0.00008185411647730507,-0.5686494160446314,3.9316786527633667,0.14303176029119644,0,0,0.5623567409506348,0,0,0,0,0.0990234375,,
16.202900999999965,1100,,,,-0.0443359375,0.0396484375,-0.990625,0.00005941052173995413,1.0689766085114405,3.9158088684082033,0.33057051523122943,0,0,1.2944519044079243,0,0,0,0,0.116796875,,
17.453983499999964,1200,,,,-0.05234375,0.039453125,-0.9619140625,0.00008654126964653843,3.3441288361930326,3.86762957572937,0.6366366378823295,0,0,2.462280164168999,0,0,0,0,0.123828125,,
18.68633899999998,1300,,,,-0.0525390625,0.044921875,-0.9943359375,0.00012090802408810707,6.109737025986846,3.81412878036499,0.9415459923306481,0,0,3.591183952807415,0,0,0,0,0.1529296875,,
19.928867499999956,1400,,,,-0.0451171875,0.0361328125,-0.9814453125,-0.000026839939133310687,8.626530595268465,3.7479275465011597,1.2575404994050041,0,0,4.713163500578232,0,0,0,0,0.15234375,,
21.177301499999977,1500,,,,-0.0537109375,0.041796875,-0.97890625,-0.000042931072814476216,12.526332061534365,3.6744009971618654,1.5967260353127497,0,0,5.8670076636810835,0,0,0,0,0.1845703125,,
22.404063999999977,1600,,,,-0.0392578125,0.0162109375,-0.990625,-0.00011765780838681383,14.543871518727611,3.6112072229385377,1.8853190533677118,0,0,6.808279086647451,0,0,0,0,0.263671875,,
23.652998999999973,1700,,,,-0.0482421875,0.0396484375,-0.9900390625,-0.00013128604835432834,15.89634099000677,3.5437478542327883,2.1844310395279902,0,0,7.741060879091644,0,0,0,0,0.2984375,,
24.886470499999973,1800,,,,-0.04921875,0.037109375,-0.9771484375,-0.00022275952032757923,16.07868146981511,3.472978711128235,2.471645056442358,0,0,8.583969660578422,0,0,0,0,0.5189453125,,
26.119564499999978,1900,,,,-0.0501953125,0.0365234375,-0.9833984375,-0.0001973051994669251,23.90967269662049,3.387235999107361,2.8350657813111324,0,0,9.60303534980384,0,0,0,0,0.310546875,,
27.355168499999955,2000,,,,-0.0498046875,0.0412109375,-0.9853515625,-0.0002738278930442076,26.62171005201806,3.2973222017288206,3.3200705163041127,0,0,10.947357868607511,0,0,0,0,0.2498046875,,
28.602078499999994,2100,,,,-0.0609375,0.031640625,-0.9837890625,-0.0002795014439127873,26.284979092955943,3.280098032951355,3.337199126915075,0,0,10.946347473293416,0,0,0,0,0.2306640625,,
29.834178500000007,2200,,,,-0.0431640625,0.024609375,-0.97421875,-0.00019664938291719713,25.670189993456155,3.2665500402450562,3.293561875061132,0,0,10.758578649063654,0,0,0,0,0.21640625,,
